n,fst_train,compress,snd_train
0,0.85712,0.72184,0.8726
1,0.84188,0.60064,0.86964
2,0.86152,0.7386,0.87644
3,0.85328,0.68752,0.8682
4,0.83916,0.794,0.8274
5,0.81476,0.75264,0.84416
6,0.836,0.661,0.84184
7,0.83672,0.64472,0.86896
8,0.8282,0.76876,0.86184
9,0.85168,0.81032,0.86916
10,0.8494,0.70052,0.87024
11,0.85552,0.7782,0.87176
12,0.85872,0.85488,0.87336
13,0.86136,0.76464,0.87696
14,0.85248,0.85124,0.87072
15,0.84928,0.82168,0.86832
16,0.86288,0.85128,0.8628
17,0.86148,0.7368,0.86916
18,0.86196,0.82888,0.87204
19,0.84648,0.70032,0.87184
20,0.85576,0.7918,0.86676
21,0.85852,0.79164,0.87152
22,0.85872,0.85488,0.87336
23,0.85764,0.75024,0.87184
24,0.85852,0.79164,0.87152
25,0.85656,0.76268,0.87408
26,0.8244,0.76948,0.86756
27,0.85656,0.76268,0.87408
28,0.8492,0.70384,0.86872
29,0.85808,0.68632,0.86976
30,0.85844,0.82604,0.867
31,0.85656,0.76268,0.87408
32,0.85656,0.76268,0.87408
33,0.8498,0.54952,0.85888
34,0.84616,0.8394,0.87508
35,0.8564,0.82132,0.8748
36,0.85512,0.66112,0.875
37,0.85756,0.79436,0.87352
38,0.85116,0.83616,0.87248
39,0.851,0.77448,0.87104
40,0.84604,0.6536,0.87104
41,0.85512,0.66112,0.87332
42,0.8596,0.77716,0.873
43,0.85512,0.66108,0.87256
44,0.85492,0.68436,0.85972
45,0.85452,0.64476,0.87252
46,0.859,0.56028,0.85896
47,0.8438,0.62536,0.8666
48,0.85096,0.83992,0.87496
49,0.85148,0.83116,0.85752
50,0.84764,0.83912,0.8736
51,0.85484,0.59136,0.87512
52,0.85096,0.83968,0.87432
53,0.85268,0.71116,0.8706
54,0.85096,0.84008,0.87488
55,0.8552,0.833,0.87392
56,0.85196,0.8262,0.8738
57,0.85376,0.82024,0.87428
58,0.85152,0.80152,0.8736
59,0.84896,0.83076,0.87416
60,0.85492,0.6542,0.87644
61,0.85492,0.65428,0.875
62,0.85492,0.6542,0.8764
63,0.85492,0.6542,0.8764
64,0.85616,0.83072,0.87404
65,0.84948,0.7268,0.86824
66,0.85612,0.77916,0.87348
67,0.83408,0.81076,0.86392
68,0.85992,0.84452,0.87584
69,0.8562,0.74832,0.8746
70,0.8606,0.8434,0.87108
71,0.85408,0.63432,0.86844
72,0.85992,0.84452,0.87584
73,0.85992,0.84452,0.87584
74,0.85992,0.84452,0.87584
75,0.8586,0.82492,0.87152
76,0.85992,0.84452,0.87584
77,0.86548,0.85496,0.87072
78,0.85992,0.84452,0.87584
79,0.85684,0.77408,0.87372
80,0.86468,0.85164,0.86944
81,0.85992,0.84452,0.87584
82,0.85992,0.84452,0.87584
83,0.85992,0.84452,0.87584
84,0.85992,0.84452,0.87584
85,0.85992,0.84452,0.87584
86,0.86028,0.82096,0.87416
87,0.85992,0.84452,0.87584
88,0.8586,0.82492,0.87152
89,0.86276,0.84524,0.85564
90,0.85992,0.84452,0.87584
91,0.85992,0.84452,0.87584
92,0.85992,0.84476,0.8766
93,0.85992,0.84452,0.87292
94,0.85992,0.84452,0.87584
95,0.85992,0.84452,0.87584
96,0.85992,0.84452,0.87584
97,0.85724,0.84348,0.87248
98,0.85584,0.68164,0.8776
99,0.85584,0.68164,0.8776
